userid,age,  Gender  ,location,  Income  ,debt,  Owns Property  ,profession,  Demographics  ,  Platform  ,  Total Time Spent  ,number of sessions,video id,video category,  Video Length  ,  Engagement  ,  Importance Score  ,time spent on video,  Number Of Videos Watched  ,  Scroll Rate  ,  Frequency  ,productivityloss,  Satisfaction  ,  Watch Reason  ,  Devicetype  ,  Os  ,  Watch Time  ,  Self Control  ,  Addiction Level  ,currentactivity,connectiontype,  Favorite Day Of The Week  ,coffee preference,  Random Quote  ,  Mood Today  ,  Shoe Size  ,  Breakfast Item  ,  Favorite Emoji  ,marital status,  Pet Name  
194,41,  Female  ,  United States  ,82987,  True  ,  nan  ,  Labor/Worker  ,  Rural  ,  Instagram  ,78,7,9754,  Vlogs  ,21,,3,12,48,62,  Afternoon  ,5,5,  Entertainment  ,  Smartphone  ,  MacOS  ,  5:00 PM  ,7,3,  At home  ,  Mobile Data  ,  Sunday  ,  None  ,  Keep going  ,  Tired  ,6,  Nothing  ,  💡  ,  nan  ,  None  
195,32,  Other  ,  India  ,83370,  True  ,  True  ,  Teacher  ,  Urban  ,  TikTok  ,93,8,5330,  Trends  ,1,7224,5,28,27,4,  Evening  ,6,4,  nan  ,  Tablet  ,  Android  ,  2:00 PM  ,8,2,  At school  ,  Wi-Fi  ,  Monday  ,  Espresso  ,  Hakuna Matata  ,  Happy  ,5,  Toast  ,  😊  ,  nan  ,  Max  
196,49,  Male  ,  Vietnam  ,74400,  True  ,  False  ,  Waiting staff  ,  Rural  ,  Instagram  ,112,1,604,  Life Hacks  ,7,1919,9,23,45,94,  Evening  ,6,4,  Habit  ,  Tablet  ,  Android  ,  2:00 PM  ,8,2,  At home  ,  Mobile Data  ,  Saturday  ,  Espresso  ,  Keep going  ,  Tired  ,11,  Nothing  ,  🔥  ,  Married  ,  Bella  
197,49,  Male  ,  Pakistan  ,45150,  False  ,  True  ,  Waiting staff  ,  Rural  ,  TikTok  ,48,4,5757,  Jokes/Memes  ,1,918,6,28,35,94,  Evening  ,6,4,  Habit  ,  Smartphone  ,  Android  ,  2:00 PM  ,8,2,  At home  ,  Mobile Data  ,  Wednesday  ,  None  ,  Keep going  ,  Excited  ,11,  Nothing  ,  😴  ,  Married  ,  None  
198,41,  Male  ,  Barzil  ,51852,  True  ,  False  ,  Manager  ,  Urban  ,  Facebook  ,22,12,4019,  Gaming  ,9,4215,3,14,15,13,  nan  ,3,7,  Habit  ,  Smartphone  ,  MacOS  ,  9:00 PM  ,5,5,  At work  ,  Wi-Fi  ,  Saturday  ,  Espresso  ,  Keep going  ,  Excited  ,11,  Cereal  ,  😴  ,  Complicated  ,  Buddy  
199,58,  Male  ,  United States  ,62870,  True  ,  False  ,  Artist  ,  Rural  ,  YouTube  ,190,3,5193,  Pranks  ,3,581,9,25,28,42,  Morning  ,8,2,  Boredom  ,  Computer  ,  Android  ,  8:00 AM  ,10,0,  At home  ,  Wi-Fi  ,  Wednesday  ,  None  ,  Keep going  ,  Tired  ,12,  Pancakes  ,  😊  ,  Married  ,  None  
200,29,  Male  ,  India  ,72756,  nan  ,  False  ,  Students  ,  Rural  ,  YouTube  ,277,13,2016,  Entertainment  ,12,3881,6,4,35,49,  Evening  ,6,4,  Boredom  ,  Smartphone  ,  Android  ,  2:00 PM  ,8,2,  Commuting  ,  Mobile Data  ,  Monday  ,  None  ,  Hakuna Matata  ,  Tired  ,11,  Nothing  ,  😴  ,  Divorced  ,  Bella  
201,56,  Other  ,  Vietnam  ,76481,  True  ,  False  ,  Labor/Worker  ,  Rural  ,  TikTok  ,22,6,9851,  Pranks  ,19,9878,4,26,7,78,  nan  ,6,4,  Entertainment  ,  Tablet  ,  Android  ,  2:00 PM  ,8,2,  At school  ,  Wi-Fi  ,  Thursday  ,  Espresso  ,  Carpe Diem  ,  Anxious  ,10,  Nothing  ,  😂  ,  Complicated  ,  Bella  
202,19,  Female  ,  Philippines  ,21283,  False  ,  False  ,  driver  ,  Rural  ,  Facebook  ,129,11,3381,  Jokes/Memes  ,15,3909,4,4,46,56,  nan  ,8,2,  Habit  ,  Computer  ,  MacOS  ,  8:00 AM  ,10,0,  At home  ,  Mobile Data  ,  Friday  ,  Black  ,  Carpe Diem  ,  Happy  ,11,  Pancakes  ,  😂  ,  Divorced  ,  Buddy  
203,20,  Female  ,  Japan  ,53691,  True  ,  True  ,  Labor/Worker  ,  Rural  ,  YouTube  ,66,4,3771,  Trends  ,22,,8,18,46,47,  Evening  ,6,4,  Habit  ,  Smartphone  ,  Windows  ,  2:00 PM  ,8,2,  At home  ,  Mobile Data  ,  Friday  ,  Black  ,  Hakuna Matata  ,  Tired  ,10,  Omelette  ,  😴  ,  nan  ,  None  
204,54,  Female  ,  India  ,21125,  False  ,  False  ,  Artist  ,  nan  ,  Instagram  ,49,16,5830,  Gaming  ,16,400,7,3,20,8,  Night  ,3,7,  Habit  ,  Smartphone  ,  Android  ,  9:00 PM  ,5,5,  At school  ,  Wi-Fi  ,  Tuesday  ,  Cappuccino  ,  Keep going  ,  Tired  ,9,  Toast  ,  😊  ,  Married  ,  Bella  
205,34,  Male  ,  India  ,87065,  nan  ,  False  ,  Students  ,  nan  ,  TikTok  ,137,7,1614,  Trends  ,10,3648,1,1,32,55,  Night  ,3,7,  Boredom  ,  Computer  ,  Android  ,  9:00 PM  ,5,5,  Commuting  ,  Wi-Fi  ,  Wednesday  ,  Espresso  ,  Keep going  ,  Tired  ,10,  Pancakes  ,  😊  ,  Complicated  ,  Buddy  
206,19,  Male  ,  India  ,46170,  nan  ,  True  ,  Engineer  ,  Urban  ,  YouTube  ,182,11,1880,  Gaming  ,22,5445,6,17,38,88,  Evening  ,6,4,  Boredom  ,  Computer  ,  Android  ,  2:00 PM  ,8,2,  At school  ,  Mobile Data  ,  Wednesday  ,  Latte  ,  Keep going  ,  Sad  ,9,  Nothing  ,  💡  ,  Complicated  ,  Luna  
207,19,  Male  ,  India  ,28438,  False  ,  True  ,  Waiting staff  ,  Rural  ,  YouTube  ,44,1,5373,  Life Hacks  ,29,2628,8,7,40,18,  Night  ,3,7,  Habit  ,  Smartphone  ,  Windows  ,  8:30 PM  ,5,5,  At school  ,  Wi-Fi  ,  Friday  ,  Espresso  ,  YOLO  ,  Anxious  ,5,  Omelette  ,  😴  ,  Complicated  ,  Max  
208,45,  Female  ,  Vietnam  ,40095,  False  ,  True  ,  Waiting staff  ,  Rural  ,  TikTok  ,268,7,4109,  Comedy  ,27,,3,16,32,35,  Evening  ,6,4,  Habit  ,  Smartphone  ,  Android  ,  3:45 PM  ,8,2,  Commuting  ,  Wi-Fi  ,  Wednesday  ,  Cappuccino  ,  Hakuna Matata  ,  Happy  ,7,  Toast  ,  🔥  ,  Married  ,  Bella  
209,40,  Male  ,  Indonesia  ,36154,  False  ,  False  ,  driver  ,  Rural  ,  TikTok  ,14,12,9292,  Entertainment  ,27,620,9,5,26,89,  Night  ,3,7,  Habit  ,  Smartphone  ,  Android  ,  8:30 PM  ,5,5,  At home  ,  Mobile Data  ,  Sunday  ,  Latte  ,  Keep going  ,  Excited  ,9,  Nothing  ,  🔥  ,  nan  ,  Buddy  
210,54,  Male  ,  Pakistan  ,28004,  False  ,  False  ,  driver  ,  Rural  ,  Instagram  ,227,7,9267,  Entertainment  ,6,246,2,19,39,81,  Evening  ,6,4,  Procrastination  ,  Computer  ,  iOS  ,  3:45 PM  ,8,2,  At school  ,  Wi-Fi  ,  Sunday  ,  Cappuccino  ,  Live Laugh Love  ,  Sad  ,12,  Nothing  ,  nan  ,  Complicated  ,  None  
211,49,  Female  ,  Germany  ,29752,  False  ,  False  ,  Students  ,  Rural  ,  Instagram  ,20,7,8979,  Gaming  ,29,5212,6,7,20,32,  Evening  ,6,4,  Habit  ,  Tablet  ,  MacOS  ,  3:45 PM  ,8,2,  At home  ,  Mobile Data  ,  Friday  ,  Cappuccino  ,  Hakuna Matata  ,  Tired  ,12,  Pancakes  ,  😂  ,  Complicated  ,  Buddy  
212,50,  Other  ,  India  ,75426,  nan  ,  nan  ,  Manager  ,  nan  ,  YouTube  ,126,10,149,  Vlogs  ,17,3339,1,14,18,24,  Afternoon  ,5,5,  Habit  ,  Smartphone  ,  Android  ,  6:05 PM  ,7,3,  At work  ,  Wi-Fi  ,  Thursday  ,  None  ,  Carpe Diem  ,  Anxious  ,9,  Omelette  ,  🔥  ,  Married  ,  Max  
213,18,  Other  ,  Mexico  ,46819,  False  ,  False  ,  Waiting staff  ,  Urban  ,  YouTube  ,193,16,1755,  Trends  ,21,6758,2,2,15,7,  Evening  ,6,4,  Boredom  ,  Smartphone  ,  Android  ,  3:45 PM  ,8,2,  At school  ,  Mobile Data  ,  Sunday  ,  Latte  ,  Live Laugh Love  ,  Happy  ,12,  Toast  ,  💡  ,  Divorced  ,  Max  
214,36,  Female  ,  Pakistan  ,44217,  False  ,  False  ,  Labor/Worker  ,  Rural  ,  TikTok  ,125,8,7379,  Life Hacks  ,28,7086,5,3,22,13,  Evening  ,6,4,  Habit  ,  Smartphone  ,  iOS  ,  3:45 PM  ,8,2,  At work  ,  Mobile Data  ,  Thursday  ,  Cappuccino  ,  Keep going  ,  Tired  ,7,  Toast  ,  🔥  ,  Single  ,  None  
215,19,  Male  ,  India  ,52994,  True  ,  False  ,  Students  ,  Rural  ,  YouTube  ,171,9,6682,  Jokes/Memes  ,22,3010,1,17,22,91,  Evening  ,6,4,  nan  ,  Smartphone  ,  iOS  ,  3:45 PM  ,8,2,  At school  ,  Mobile Data  ,  Sunday  ,  Black  ,  Live Laugh Love  ,  Sad  ,9,  Nothing  ,  😴  ,  nan  ,  Bella  
216,61,  Male  ,  Japan  ,35036,  False  ,  False  ,  Artist  ,  Rural  ,  YouTube  ,76,9,3757,  Entertainment  ,24,4719,8,16,21,69,  nan  ,3,7,  Habit  ,  Tablet  ,  iOS  ,  8:30 PM  ,5,5,  At home  ,  Mobile Data  ,  Monday  ,  Cappuccino  ,  Hakuna Matata  ,  Anxious  ,,  Omelette  ,  😊  ,  Married  ,  None  
217,43,  Male  ,  India  ,97275,  True  ,  True  ,  Engineer  ,  Rural  ,  TikTok  ,209,2,9372,  Gaming  ,29,2368,1,8,2,90,  Evening  ,6,4,  Entertainment  ,  Computer  ,  Android  ,  3:45 PM  ,8,2,  At home  ,  Mobile Data  ,  Thursday  ,  None  ,  Carpe Diem  ,  Excited  ,5,  Nothing  ,  🔥  ,  Complicated  ,  Buddy  
218,49,  Male  ,  United States  ,69416,  True  ,  nan  ,  Waiting staff  ,  nan  ,  YouTube  ,40,13,,  Life Hacks  ,17,1839,9,18,40,42,  Morning  ,8,2,  Procrastination  ,  Smartphone  ,  Android  ,  9:15 AM  ,10,0,  At home  ,  Mobile Data  ,  Friday  ,  None  ,  Keep going  ,  Sad  ,7,  Pancakes  ,  😂  ,  Complicated  ,  Buddy  
219,23,  Other  ,  Pakistan  ,29587,  False  ,  True  ,  Manager  ,  Rural  ,  YouTube  ,84,13,5393,  Comedy  ,21,2903,3,15,43,31,  Night  ,3,7,  nan  ,  Smartphone  ,  Android  ,  8:30 PM  ,5,5,  Commuting  ,  Mobile Data  ,  Thursday  ,  Black  ,  Live Laugh Love  ,  Happy  ,6,  Nothing  ,  😂  ,  nan  ,  Buddy  
220,49,  Male  ,  Mexico  ,20645,  False  ,  nan  ,  Manager  ,  Rural  ,  Facebook  ,246,4,9796,  Pranks  ,19,,2,7,18,74,  nan  ,3,7,  Procrastination  ,  Smartphone  ,  iOS  ,  8:30 PM  ,5,5,  At home  ,  Mobile Data  ,  Monday  ,  None  ,  YOLO  ,  Excited  ,8,  Toast  ,  😊  ,  Complicated  ,  None  
221,21,  Male  ,  India  ,50930,  True  ,  nan  ,  Students  ,  nan  ,  Instagram  ,75,12,3053,  Trends  ,18,4395,1,27,23,26,  Night  ,3,7,  Boredom  ,  Smartphone  ,  Android  ,  8:30 PM  ,5,5,  At school  ,  Mobile Data  ,  Saturday  ,  Cappuccino  ,  Live Laugh Love  ,  Tired  ,,  Nothing  ,  nan  ,  Single  ,  Max  
222,28,  Male  ,  Indonesia  ,50090,  True  ,  False  ,  Students  ,  Rural  ,  TikTok  ,79,17,,  Life Hacks  ,11,,9,9,13,86,  Evening  ,6,4,  Entertainment  ,  Computer  ,  MacOS  ,  3:45 PM  ,8,2,  At work  ,  Wi-Fi  ,  Friday  ,  Latte  ,  YOLO  ,  Sad  ,6,  Pancakes  ,  😂  ,  Divorced  ,  Max  
223,34,  Other  ,  Vietnam  ,72142,  True  ,  True  ,  Waiting staff  ,  Rural  ,  Facebook  ,29,2,4219,  Vlogs  ,24,3691,4,6,41,76,  Afternoon  ,5,5,  Entertainment  ,  Tablet  ,  iOS  ,  6:05 PM  ,7,3,  At school  ,  Mobile Data  ,  Sunday  ,  Black  ,  Carpe Diem  ,  Excited  ,8,  Nothing  ,  💡  ,  Divorced  ,  Buddy  
224,55,  Other  ,  United States  ,46475,  nan  ,  False  ,  Students  ,  Rural  ,  Instagram  ,235,13,4804,  ASMR  ,7,7470,1,18,9,32,  Evening  ,6,4,  Habit  ,  Tablet  ,  iOS  ,  3:45 PM  ,8,2,  At school  ,  Wi-Fi  ,  Sunday  ,  Espresso  ,  YOLO  ,  Tired  ,12,  Pancakes  ,  💡  ,  Married  ,  Buddy  
225,41,  Male  ,  Philippines  ,38888,  False  ,  True  ,  Labor/Worker  ,  Rural  ,  Instagram  ,208,18,2378,  Life Hacks  ,10,3841,1,18,49,91,  Evening  ,6,4,  Boredom  ,  Tablet  ,  Windows  ,  3:45 PM  ,8,2,  At home  ,  Mobile Data  ,  Tuesday  ,  Cappuccino  ,  Keep going  ,  Happy  ,11,  Cereal  ,  😂  ,  Complicated  ,  Luna  
226,22,  Male  ,  Pakistan  ,63732,  True  ,  False  ,  Manager  ,  Rural  ,  Instagram  ,48,15,5087,  Pranks  ,7,4348,7,25,7,97,  Evening  ,6,4,  Boredom  ,  Smartphone  ,  Android  ,  3:45 PM  ,8,2,  At work  ,  Wi-Fi  ,  Wednesday  ,  Espresso  ,  Live Laugh Love  ,  Anxious  ,,  Cereal  ,  🔥  ,  Divorced  ,  Luna  
227,51,  Male  ,  Japan  ,66305,  True  ,  True  ,  Engineer  ,  Rural  ,  Facebook  ,154,8,3183,  Entertainment  ,5,6621,2,26,41,52,  Night  ,3,7,  Habit  ,  Computer  ,  MacOS  ,  8:30 PM  ,5,5,  At work  ,  Wi-Fi  ,  Sunday  ,  Latte  ,  Live Laugh Love  ,  Sad  ,6,  Omelette  ,  😴  ,  Divorced  ,  Bella  
228,23,  Male  ,  Vietnam  ,66037,  True  ,  nan  ,  Engineer  ,  Rural  ,  Facebook  ,54,15,,  Trends  ,12,,7,24,1,20,  Night  ,3,7,  Habit  ,  Smartphone  ,  Android  ,  8:30 PM  ,5,5,  At school  ,  Wi-Fi  ,  Sunday  ,  Espresso  ,  Carpe Diem  ,  Tired  ,8,  Toast  ,  😴  ,  Complicated  ,  Buddy  
229,39,  Other  ,  United States  ,29346,  False  ,  True  ,  Manager  ,  Rural  ,  Instagram  ,100,1,6577,  Gaming  ,16,6060,7,14,2,40,  Evening  ,6,4,  nan  ,  Tablet  ,  Android  ,  3:45 PM  ,8,2,  At home  ,  Mobile Data  ,  Tuesday  ,  Cappuccino  ,  YOLO  ,  Happy  ,5,  Omelette  ,  🔥  ,  Married  ,  Bella  
230,28,  Male  ,  India  ,20587,  nan  ,  False  ,  Labor/Worker  ,  Rural  ,  YouTube  ,247,10,8904,  Life Hacks  ,29,4255,9,14,4,59,  Night  ,3,7,  nan  ,  Computer  ,  Android  ,  8:30 PM  ,5,5,  At home  ,  Mobile Data  ,  Wednesday  ,  Espresso  ,  YOLO  ,  Happy  ,,  Toast  ,  😂  ,  Single  ,  Luna  
231,33,  Female  ,  United States  ,32763,  False  ,  True  ,  Students  ,  Rural  ,  YouTube  ,79,12,2587,  Pranks  ,25,4300,7,14,14,77,  Night  ,3,7,  Boredom  ,  Tablet  ,  MacOS  ,  8:30 PM  ,5,5,  At school  ,  Mobile Data  ,  Tuesday  ,  Black  ,  YOLO  ,  Tired  ,12,  Nothing  ,  😂  ,  Complicated  ,  Bella  
232,50,  Male  ,  Vietnam  ,79165,  True  ,  False  ,  Cashier  ,  Rural  ,  Facebook  ,175,5,2649,  Life Hacks  ,21,3338,1,25,32,14,  Night  ,3,7,  Entertainment  ,  Tablet  ,  iOS  ,  8:30 PM  ,5,5,  At school  ,  Mobile Data  ,  Wednesday  ,  None  ,  Carpe Diem  ,  Anxious  ,7,  Pancakes  ,  😊  ,  Married  ,  Max  
233,26,  Other  ,  United States  ,89615,  True  ,  True  ,  Students  ,  Urban  ,  Facebook  ,139,9,,  Life Hacks  ,18,5487,8,4,36,44,  Night  ,3,7,  Boredom  ,  Smartphone  ,  Android  ,  8:30 PM  ,5,5,  At home  ,  Wi-Fi  ,  Friday  ,  Latte  ,  Live Laugh Love  ,  Excited  ,,  Omelette  ,  😂  ,  Married  ,  Max  
234,23,  Male  ,  Germany  ,56116,  True  ,  False  ,  Waiting staff  ,  Urban  ,  Facebook  ,223,8,1718,  ASMR  ,3,3514,8,4,2,86,  nan  ,5,5,  Entertainment  ,  Tablet  ,  iOS  ,  6:05 PM  ,7,3,  Commuting  ,  Mobile Data  ,  Friday  ,  Espresso  ,  Hakuna Matata  ,  Anxious  ,7,  Pancakes  ,  🔥  ,  Divorced  ,  None  
235,33,  Female  ,  Barzil  ,45556,  False  ,  True  ,  driver  ,  Urban  ,  Instagram  ,98,16,5309,  Trends  ,20,759,4,15,40,82,  Evening  ,6,4,  Boredom  ,  Smartphone  ,  iOS  ,  3:45 PM  ,8,2,  Commuting  ,  Mobile Data  ,  Monday  ,  Latte  ,  Keep going  ,  Excited  ,11,  Toast  ,  😂  ,  Divorced  ,  None  
236,46,  Female  ,  Indonesia  ,79042,  True  ,  nan  ,  Students  ,  Urban  ,  YouTube  ,261,14,,  Life Hacks  ,15,9915,8,15,14,48,  Evening  ,6,4,  Procrastination  ,  Computer  ,  Android  ,  3:45 PM  ,8,2,  At school  ,  Wi-Fi  ,  Saturday  ,  Black  ,  Live Laugh Love  ,  Tired  ,9,  Cereal  ,  😴  ,  Married  ,  None  
237,20,  Other  ,  India  ,38099,  False  ,  True  ,  Teacher  ,  Rural  ,  Facebook  ,81,13,871,  Jokes/Memes  ,5,8621,4,18,20,93,  nan  ,8,2,  Habit  ,  Computer  ,  MacOS  ,  9:15 AM  ,10,0,  At home  ,  Mobile Data  ,  Sunday  ,  Espresso  ,  Keep going  ,  Happy  ,10,  Cereal  ,  😴  ,  Married  ,  Buddy  
238,37,  Female  ,  Vietnam  ,65096,  nan  ,  False  ,  Artist  ,  Rural  ,  Facebook  ,174,13,3575,  Trends  ,13,6793,8,14,25,43,  Night  ,3,7,  Habit  ,  Tablet  ,  Android  ,  8:30 PM  ,5,5,  At work  ,  Mobile Data  ,  Monday  ,  None  ,  Live Laugh Love  ,  Excited  ,11,  Pancakes  ,  🔥  ,  Married  ,  None  
239,53,  Male  ,  Germany  ,91986,  True  ,  True  ,  Students  ,  Rural  ,  TikTok  ,58,5,5828,  Jokes/Memes  ,19,,5,26,42,16,  Evening  ,6,4,  Habit  ,  Computer  ,  iOS  ,  3:45 PM  ,8,2,  At school  ,  Mobile Data  ,  Monday  ,  Latte  ,  Keep going  ,  Anxious  ,10,  Pancakes  ,  😂  ,  Single  ,  None  
240,36,  Female  ,  Germany  ,33230,  False  ,  True  ,  Waiting staff  ,  Rural  ,  Instagram  ,61,16,7987,  Jokes/Memes  ,12,5273,4,1,49,35,  Afternoon  ,5,5,  Procrastination  ,  Tablet  ,  iOS  ,  6:05 PM  ,7,3,  Commuting  ,  Wi-Fi  ,  Monday  ,  Espresso  ,  Live Laugh Love  ,  Sad  ,7,  Omelette  ,  🔥  ,  Complicated  ,  Luna  
241,43,  Other  ,  Philippines  ,49009,  False  ,  True  ,  Waiting staff  ,  Rural  ,  TikTok  ,298,11,8463,  Life Hacks  ,23,1718,6,10,8,53,  Afternoon  ,5,5,  Entertainment  ,  Smartphone  ,  Windows  ,  6:05 PM  ,7,3,  At work  ,  Mobile Data  ,  Wednesday  ,  Espresso  ,  Carpe Diem  ,  Happy  ,6,  Cereal  ,  😂  ,  Complicated  ,  None  
242,20,  Other  ,  United States  ,90969,  True  ,  True  ,  Cashier  ,  Rural  ,  YouTube  ,287,5,9736,  Life Hacks  ,21,9457,2,29,28,34,  Evening  ,6,4,  Entertainment  ,  Tablet  ,  Android  ,  3:45 PM  ,8,2,  At school  ,  Mobile Data  ,  Friday  ,  Black  ,  Hakuna Matata  ,  Tired  ,7,  Omelette  ,  😂  ,  Complicated  ,  Luna  
243,36,  Male  ,  Barzil  ,53866,  True  ,  False  ,  driver  ,  nan  ,  TikTok  ,123,13,8742,  Life Hacks  ,5,5423,2,20,46,3,  Night  ,3,7,  Procrastination  ,  Smartphone  ,  Android  ,  8:30 PM  ,5,5,  At school  ,  Mobile Data  ,  Saturday  ,  Cappuccino  ,  Hakuna Matata  ,  Sad  ,7,  Nothing  ,  😊  ,  nan  ,  Luna  
244,37,  Female  ,  Germany  ,96975,  True  ,  True  ,  driver  ,  Rural  ,  TikTok  ,248,11,,  ASMR  ,6,1308,2,10,21,68,  Night  ,3,7,  Habit  ,  Smartphone  ,  iOS  ,  8:30 PM  ,5,5,  At home  ,  Wi-Fi  ,  Sunday  ,  Espresso  ,  Live Laugh Love  ,  Anxious  ,12,  Nothing  ,  😴  ,  Complicated  ,  None  
245,49,  Male  ,  Barzil  ,61855,  True  ,  False  ,  Waiting staff  ,  Urban  ,  TikTok  ,142,19,5734,  Jokes/Memes  ,7,1050,9,10,23,5,  Evening  ,6,4,  Procrastination  ,  Smartphone  ,  Android  ,  3:45 PM  ,8,2,  At school  ,  Mobile Data  ,  Thursday  ,  Black  ,  YOLO  ,  Anxious  ,10,  Toast  ,  😴  ,  Divorced  ,  Max  
246,24,  Male  ,  United States  ,26416,  False  ,  False  ,  driver  ,  Rural  ,  Instagram  ,283,3,9905,  Life Hacks  ,26,5479,3,27,32,10,  Night  ,3,7,  Habit  ,  Smartphone  ,  Android  ,  8:30 PM  ,5,5,  At home  ,  Mobile Data  ,  Wednesday  ,  Latte  ,  YOLO  ,  Excited  ,11,  Omelette  ,  nan  ,  Divorced  ,  Max  
247,58,  Male  ,  Vietnam  ,92516,  True  ,  False  ,  Students  ,  Rural  ,  YouTube  ,175,15,,  Jokes/Memes  ,10,2249,4,24,8,52,  Morning  ,8,2,  Entertainment  ,  Computer  ,  Windows  ,  9:15 AM  ,10,0,  At home  ,  Mobile Data  ,  Monday  ,  Latte  ,  Live Laugh Love  ,  Excited  ,7,  Cereal  ,  😂  ,  Complicated  ,  None  
248,50,  Female  ,  Japan  ,75915,  True  ,  False  ,  Students  ,  Rural  ,  TikTok  ,252,7,9555,  Life Hacks  ,16,2809,8,2,31,29,  Evening  ,6,4,  Habit  ,  Smartphone  ,  Windows  ,  3:45 PM  ,8,2,  At home  ,  Mobile Data  ,  Sunday  ,  None  ,  Carpe Diem  ,  Sad  ,9,  Pancakes  ,  nan  ,  Married  ,  None  
249,57,  Female  ,  United States  ,38058,  False  ,  False  ,  Students  ,  Rural  ,  Instagram  ,147,7,4894,  Jokes/Memes  ,8,2921,4,29,37,96,  Afternoon  ,5,5,  nan  ,  Smartphone  ,  iOS  ,  6:05 PM  ,7,3,  At school  ,  Mobile Data  ,  Friday  ,  None  ,  YOLO  ,  Excited  ,7,  Cereal  ,  😂  ,  nan  ,  Luna  
250,56,  Male  ,  Germany  ,96637,  True  ,  nan  ,  Labor/Worker  ,  Rural  ,  YouTube  ,88,6,9477,  Trends  ,9,4676,7,28,16,31,  nan  ,5,5,  Procrastination  ,  Smartphone  ,  Android  ,  6:05 PM  ,7,3,  At work  ,  Mobile Data  ,  Wednesday  ,  Cappuccino  ,  Carpe Diem  ,  Happy  ,,  Omelette  ,  😂  ,  nan  ,  None  
251,35,  Other  ,  India  ,60718,  True  ,  False  ,  Waiting staff  ,  Urban  ,  Facebook  ,179,3,887,  Gaming  ,27,4041,5,27,40,66,  Afternoon  ,5,5,  Entertainment  ,  Smartphone  ,  Android  ,  6:05 PM  ,7,3,  At home  ,  Mobile Data  ,  Sunday  ,  Espresso  ,  Live Laugh Love  ,  Happy  ,8,  Omelette  ,  😊  ,  Married  ,  Buddy  
252,57,  Female  ,  United States  ,52602,  True  ,  nan  ,  driver  ,  Rural  ,  TikTok  ,132,13,,  Entertainment  ,4,2417,9,8,42,76,  Night  ,3,7,  Habit  ,  Smartphone  ,  Android  ,  8:30 PM  ,5,5,  At home  ,  Mobile Data  ,  Wednesday  ,  Espresso  ,  Live Laugh Love  ,  Sad  ,,  Pancakes  ,  😊  ,  Married  ,  None  
253,18,  Female  ,  United States  ,94658,  True  ,  nan  ,  Engineer  ,  Rural  ,  YouTube  ,185,7,5319,  Comedy  ,21,532,4,1,27,91,  Evening  ,6,4,  nan  ,  Smartphone  ,  Windows  ,  3:45 PM  ,8,2,  At work  ,  Mobile Data  ,  Friday  ,  Espresso  ,  Carpe Diem  ,  Anxious  ,6,  Toast  ,  😊  ,  Married  ,  Max  
254,28,  Male  ,  Philippines  ,98112,  True  ,  True  ,  driver  ,  Urban  ,  TikTok  ,91,5,2259,  Gaming  ,21,9090,3,1,40,69,  Afternoon  ,5,5,  Habit  ,  Smartphone  ,  Android  ,  6:05 PM  ,7,3,  At work  ,  Mobile Data  ,  Friday  ,  Cappuccino  ,  Hakuna Matata  ,  Anxious  ,7,  Omelette  ,  nan  ,  Single  ,  Max  
255,45,  Female  ,  Indonesia  ,78067,  True  ,  True  ,  Waiting staff  ,  Rural  ,  Facebook  ,96,18,,  Pranks  ,8,8167,2,4,41,37,  Afternoon  ,5,5,  Procrastination  ,  Tablet  ,  iOS  ,  6:05 PM  ,7,3,  At work  ,  Mobile Data  ,  Friday  ,  Black  ,  Carpe Diem  ,  Anxious  ,,  Nothing  ,  nan  ,  Divorced  ,  Luna  
256,42,  Female  ,  India  ,47516,  False  ,  nan  ,  Labor/Worker  ,  Rural  ,  YouTube  ,234,8,1786,  Vlogs  ,25,1469,1,7,18,27,  nan  ,5,5,  Habit  ,  Smartphone  ,  MacOS  ,  6:05 PM  ,7,3,  Commuting  ,  Mobile Data  ,  Saturday  ,  None  ,  YOLO  ,  Tired  ,6,  Nothing  ,  😊  ,  Single  ,  Luna  
257,40,  Male  ,  India  ,21089,  False  ,  False  ,  Engineer  ,  Rural  ,  Instagram  ,25,17,7728,  Life Hacks  ,7,9444,6,9,35,87,  Night  ,3,7,  Procrastination  ,  Smartphone  ,  Windows  ,  8:30 PM  ,5,5,  At home  ,  Wi-Fi  ,  Friday  ,  Black  ,  Live Laugh Love  ,  Anxious  ,11,  Omelette  ,  😊  ,  Complicated  ,  Buddy  
258,48,  Male  ,  Philippines  ,57346,  True  ,  False  ,  Engineer  ,  Rural  ,  YouTube  ,172,1,296,  Life Hacks  ,15,7292,2,16,49,33,  nan  ,6,4,  Boredom  ,  Smartphone  ,  Windows  ,  3:45 PM  ,8,2,  Commuting  ,  Wi-Fi  ,  Friday  ,  Black  ,  Hakuna Matata  ,  Tired  ,8,  Pancakes  ,  🔥  ,  Single  ,  Buddy  
259,47,  Male  ,  United States  ,94663,  True  ,  True  ,  Labor/Worker  ,  Rural  ,  Instagram  ,107,14,2598,  ASMR  ,21,,8,5,15,68,  Evening  ,6,4,  Habit  ,  Smartphone  ,  iOS  ,  3:45 PM  ,8,2,  At school  ,  Wi-Fi  ,  Wednesday  ,  Latte  ,  YOLO  ,  Anxious  ,5,  Pancakes  ,  🔥  ,  Complicated  ,  Buddy  
